dataset,true_label,score
WESAD,stress,5.412964778540536
WESAD,stress,3.8220597810644477
WESAD,stress,2.72266694173332
WESAD,stress,2.7060097102736553
WESAD,stress,2.684863861427308
WESAD,stress,2.608009669625345
WESAD,stress,2.575472961438007
WESAD,stress,2.472518104161058
WESAD,stress,2.426800451196241
WESAD,stress,2.4263426917570055
WESAD,stress,2.4096278912961933
WESAD,stress,2.3902625784122837
WESAD,stress,2.3863847599379144
WESAD,stress,2.3837093089758015
WESAD,stress,2.3684846495140106
WESAD,stress,2.3663415949027375
WESAD,stress,2.354144765472747
WESAD,stress,2.3305051730679955
WESAD,stress,2.3064704791622894
WESAD,stress,2.2833771898005946
WESAD,stress,2.2727736545469845
WESAD,stress,2.268362632216916
WESAD,stress,2.265926124047648
WESAD,stress,2.2609616597401128
WESAD,stress,2.254266697338976
WESAD,stress,2.2532257447795017
WESAD,stress,2.248303355669798
WESAD,stress,2.244776380218592
WESAD,stress,2.226841056693234
WESAD,stress,2.215563497384448
WESAD,stress,2.2109930531962285
WESAD,stress,2.203988000980134
WESAD,stress,2.1955432010606852
WESAD,stress,2.190775946235782
WESAD,stress,2.180320173465516
WESAD,stress,2.1780328169756933
WESAD,stress,2.176378968495833
WESAD,stress,2.1670841436784136
WESAD,stress,2.1648339885749475
WESAD,stress,2.1398748309989917
WESAD,stress,2.1361110765167273
WESAD,stress,2.129596923099931
WESAD,stress,2.129546015301343
WESAD,stress,2.124914070828027
WESAD,stress,2.1203648100239683
WESAD,stress,2.118969139159968
WESAD,stress,2.1081078898681347
WESAD,stress,2.1029460058320324
WESAD,stress,2.0917545550375953
WESAD,stress,2.0844883597216137
