dataset,true_label,score_lof,subject,window_idx
WESAD,stress,5.412964778540536,3,9
WESAD,stress,3.8220597810644477,5,0
WESAD,stress,2.72266694173332,5,17
WESAD,stress,2.7060097102736553,13,17
WESAD,stress,2.684863861427308,16,13
WESAD,stress,2.608009669625345,16,0
WESAD,stress,2.575472961438007,13,12
WESAD,stress,2.472518104161058,13,16
WESAD,stress,2.426800451196241,16,1
WESAD,stress,2.4263426917570055,5,20
WESAD,stress,2.4096278912961933,13,13
WESAD,stress,2.3902625784122837,16,14
WESAD,stress,2.3863847599379144,13,5
WESAD,stress,2.3837093089758015,16,12
WESAD,stress,2.3684846495140106,13,2
WESAD,stress,2.3663415949027375,14,12
WESAD,stress,2.354144765472747,16,11
WESAD,stress,2.3305051730679955,5,1
WESAD,stress,2.3064704791622894,13,3
WESAD,stress,2.2833771898005946,16,3
WESAD,stress,2.2727736545469845,13,7
WESAD,stress,2.268362632216916,17,13
WESAD,stress,2.265926124047648,5,19
WESAD,stress,2.2609616597401128,15,8
WESAD,stress,2.254266697338976,13,8
WESAD,stress,2.2532257447795017,13,14
WESAD,stress,2.244776380218592,16,15
WESAD,stress,2.226841056693234,16,9
WESAD,stress,2.215563497384448,16,4
WESAD,stress,2.2109930531962285,17,16
WESAD,stress,2.203988000980134,5,21
WESAD,stress,2.1955432010606852,15,2
WESAD,stress,2.190775946235782,16,6
WESAD,stress,2.180320173465516,13,9
WESAD,stress,2.1780328169756933,13,4
WESAD,stress,2.176378968495833,5,18
WESAD,stress,2.1670841436784136,16,16
WESAD,stress,2.1398748309989917,5,2
WESAD,stress,2.129596923099931,17,20
WESAD,stress,2.129546015301343,16,20
WESAD,stress,2.124914070828027,16,5
WESAD,stress,2.1203648100239683,13,15
WESAD,stress,2.118969139159968,16,10
WESAD,stress,2.1081078898681347,16,2
WESAD,stress,2.1029460058320324,16,17
WESAD,stress,2.0917545550375953,17,14
WESAD,stress,2.0844883597216137,5,5
WESAD,stress,2.0839307252729076,13,1
WESAD,stress,2.078944438144572,13,21
WESAD,stress,2.0760456145652295,3,3
