dataset,protocol,model,auc,ci_low,ci_high,precision,recall,f1,threshold,auc_sd_over_seeds,auc_seed0
WESAD,LOSO,IF,0.7990049751243782,0.7702245121919246,0.82684428753588,0.5196687370600414,0.7492537313432835,0.6136919315403423,85th pct train,,
WESAD,LOSO,LOF,0.8272373540856031,0.8003286767860702,0.8518563270400268,0.42160737812911725,0.9552238805970149,0.5850091407678245,85th pct train,,
WESAD,LOSO,OCSVM,0.8135083338172948,0.7869795064946761,0.841842053505722,0.4660347551342812,0.8805970149253731,0.609504132231405,85th pct train,,
WESAD,LOSO,AE,0.854730239851327,0.8307765509606532,0.8781144596616323,0.45441176470588235,0.9223880597014925,0.6088669950738916,85th pct train,,
MIT-BIH,inter-patient DS1->DS2 (paced excl.),IF,0.6695991770254122,0.6449626749305264,0.6628295950586027,0.2471258996167866,0.48495964783565665,0.3274100674880812,85th pct train,0.022828029596535477,0.6538246673590463
MIT-BIH,inter-patient DS1->DS2 (paced excl.),LOF,0.5023238495821161,0.49243435214679265,0.5117827949843216,0.09839816933638444,0.6625091709464417,0.1713472485768501,85th pct train,0.0,0.5023238495821161
MIT-BIH,inter-patient DS1->DS2 (paced excl.),OCSVM,0.6751432266413809,0.666008877938527,0.6843403867117503,0.21714590801616962,0.5221936903888481,0.30673921241178687,85th pct train,0.0,0.6751432266413809
MIT-BIH,inter-patient DS1->DS2 (paced excl.),AE,0.6381259300514721,0.6280316164119676,0.6479316049333114,0.23869389132635843,0.518892149669846,0.32697642163661583,85th pct train,0.0,0.6381259300514721
PTB-XL,thr on fold9 -> fold10,IF,0.6315409309791332,0.6070151143901165,0.6536881910213118,0.5873953717380601,0.9574638844301766,0.7281049740616418,pct 5 on fold 9 (F1=0.731),0.003975442491906464,
PTB-XL,thr on fold9 -> fold10,LOF,0.6824337881219904,0.6613677520407633,0.7032243243537891,0.5860397479398933,0.9703049759229535,0.7307343608340888,pct 5 on fold 9 (F1=0.728),0.0,
PTB-XL,thr on fold9 -> fold10,OCSVM,0.6279700304131114,0.6061926415636185,0.6498264856742442,0.5780590717299579,0.9895666131621188,0.7298017164841669,pct 1 on fold 9 (F1=0.731),0.0,
PTB-XL,thr on fold9 -> fold10,AE,0.6279216299174903,0.6054949823126994,0.6505617671573263,0.5908644400785854,0.9654895666131621,0.7330895795246801,pct 5 on fold 9 (F1=0.729),0.0,
