dataset,model,AUC,CI,F1
WESAD (LOSO),IF,0.799,"[0.770,0.827]",0.614
WESAD (LOSO),LOF,0.827,"[0.800,0.852]",0.585
WESAD (LOSO),OCSVM,0.814,"[0.787,0.842]",0.61
WESAD (LOSO),AE,0.855,"[0.831,0.878]",0.609
MIT-BIH (inter-patient),IF,0.67,"[0.645,0.663]",0.327
MIT-BIH (inter-patient),LOF,0.502,"[0.492,0.512]",0.171
MIT-BIH (inter-patient),OCSVM,0.675,"[0.666,0.684]",0.307
MIT-BIH (inter-patient),AE,0.638,"[0.628,0.648]",0.327
PTB-XL (fold9→10),IF,0.632,"[0.607,0.654]",0.728
PTB-XL (fold9→10),LOF,0.682,"[0.661,0.703]",0.731
PTB-XL (fold9→10),OCSVM,0.628,"[0.606,0.650]",0.73
PTB-XL (fold9→10),AE,0.628,"[0.605,0.651]",0.733
