row,subject,nearest_neighbour_cos,cluster_09
0,1,1.0,0
1,1,0.9296,0
2,1,0.9781,0
3,1,0.9138,1
4,1,0.9306,2
5,1,0.9691,3
6,1,0.8936,4
7,1,0.9248,5
8,1,0.849,6
9,1,0.9848,7
10,1,0.9584,8
11,2,0.9444,0
12,2,0.9026,9
13,2,0.97,3
14,2,0.8482,10
15,2,0.9086,11
16,2,0.9195,12
17,2,0.9421,13
18,2,0.8827,14
19,2,0.902,15
20,2,0.8978,16
21,2,0.9588,17
22,2,0.9562,5
23,2,0.9589,18
24,2,0.8688,19
25,2,0.9741,20
26,2,0.9006,21
27,2,0.9006,21
28,2,0.9483,22
29,2,0.8755,23
30,2,0.9358,24
31,2,0.9064,25
32,2,0.9069,26
33,2,0.7938,27
34,2,0.9358,24
35,2,0.956,28
36,2,0.9341,29
37,2,0.961,28
38,2,0.9788,0
39,2,0.9606,29
40,3,0.9673,0
41,3,0.9793,0
42,3,0.9118,30
43,3,0.9222,31
44,3,0.911,32
45,3,0.954,0
46,3,0.9952,33
47,3,0.9993,0
48,3,0.9273,30
49,3,0.9365,34
50,3,0.9625,0
51,3,0.926,35
52,3,0.9079,36
53,3,0.8986,37
54,3,0.944,38
55,4,1.0,39
56,4,0.9329,0
57,4,0.964,40
58,4,0.9236,41
59,4,0.9206,42
60,4,0.9468,8
61,4,0.9721,0
62,4,0.9402,43
63,4,0.9945,0
64,5,0.9848,7
65,5,0.9064,25
66,5,0.9476,44
67,5,0.9549,20
68,5,0.9955,45
69,5,0.9148,46
70,5,0.9627,47
71,5,0.9489,48
72,5,0.9145,26
73,5,0.9262,49
74,5,0.8931,50
75,5,0.8552,51
76,5,0.9329,52
77,5,0.8821,53
78,5,0.8862,54
79,5,0.8896,55
80,5,0.8944,56
81,5,0.9311,57
82,5,0.9236,41
83,5,0.899,58
84,5,0.9678,48
85,5,0.9192,47
86,5,0.9169,17
87,5,0.9691,17
88,5,0.8482,59
89,5,0.9594,60
90,5,0.8116,61
91,5,0.8768,62
92,5,0.8598,63
93,5,0.9997,64
94,5,0.9572,60
95,5,0.9417,7
96,5,0.9395,65
97,5,0.8812,66
98,5,0.9396,17
99,5,0.9618,67
100,5,0.9101,68
101,6,0.9698,0
102,6,1.0,0
103,6,0.9917,0
104,6,0.999,0
105,6,0.9609,0
106,6,0.9095,69
107,6,0.9543,60
108,6,0.9518,13
109,6,0.9678,48
110,6,0.9115,70
111,6,0.9483,22
112,6,0.8491,71
113,6,0.8978,72
114,6,0.8797,73
115,6,0.8966,74
116,6,0.9222,31
117,6,0.8794,75
118,6,0.9681,76
119,6,0.9239,77
120,6,0.9455,78
121,6,0.9837,45
122,6,0.9122,79
123,6,0.9681,76
124,6,0.9439,80
125,6,0.9245,80
126,6,0.9624,81
127,6,0.8935,82
128,6,0.9463,44
129,6,0.9399,52
130,6,0.9317,83
131,6,0.9463,44
132,6,0.9143,22
133,6,0.9627,47
134,6,0.9394,52
135,6,0.9944,45
136,6,0.9679,60
137,6,1.0,45
138,6,0.9016,84
139,6,0.9625,30
140,6,0.8673,85
141,6,0.9945,35
142,6,0.9768,47
143,6,0.8737,86
144,6,0.8593,87
145,6,0.9802,78
146,6,0.9439,80
147,6,0.964,35
148,6,0.9145,88
149,7,0.9193,29
150,7,0.9475,89
151,7,0.9306,67
152,7,0.9709,0
153,7,0.8869,90
154,7,0.9204,91
155,7,0.944,38
156,7,0.8896,92
157,7,0.8835,93
158,7,0.9618,67
159,7,0.9659,94
160,7,0.9699,0
161,8,0.9676,0
162,8,0.9125,34
163,8,0.9666,0
164,8,0.97,3
165,8,0.8996,95
166,8,0.9685,0
167,8,0.9328,96
168,8,0.912,12
169,8,0.9849,40
170,8,0.9849,40
171,8,0.928,12
172,8,0.9086,11
173,8,0.8751,97
174,8,0.8779,98
175,8,0.8054,99
176,8,0.8634,100
177,8,0.9456,18
178,8,0.8931,101
179,8,0.943,0
180,8,0.9793,0
181,8,0.9437,0
182,8,0.9248,0
183,8,0.8104,102
184,8,0.9691,17
185,8,0.8974,103
186,8,0.8968,104
187,8,0.9418,105
188,8,0.9624,52
189,8,0.9306,2
190,8,0.9421,13
191,8,0.9589,18
192,8,0.9452,106
193,8,0.9698,0
194,8,0.9443,0
195,8,0.9305,107
196,8,0.9728,0
197,8,0.9564,0
198,8,0.9728,0
199,8,0.9278,7
200,8,0.9721,0
201,8,0.9552,108
202,8,0.9247,109
203,8,0.914,8
204,8,0.9552,36
205,9,0.91,94
206,9,0.8809,110
207,9,0.88,111
208,9,0.9047,112
209,9,0.9249,42
210,9,0.9452,0
211,9,0.9562,5
212,9,0.8973,113
213,9,0.9325,114
214,9,1.0,115
215,9,0.9549,0
216,9,1.0,115
217,9,0.9228,8
218,9,0.9771,0
219,9,0.9419,40
220,9,0.9671,0
221,9,0.9145,116
222,9,0.9329,0
223,9,0.9626,0
224,10,0.9523,0
225,10,1.0,0
226,10,0.9471,36
227,10,0.9483,40
228,10,0.9115,117
229,10,0.9161,118
230,10,0.9094,119
231,10,0.9174,119
232,10,0.8974,120
233,10,0.9996,118
234,10,0.9996,118
235,10,0.9781,0
236,10,0.9716,121
237,10,0.9517,115
238,10,1.0,0
239,10,0.9659,94
240,10,0.9315,122
241,10,0.9503,123
242,10,0.9086,124
243,10,0.983,0
244,10,1.0,0
245,10,0.9247,39
246,11,0.9716,121
247,11,0.9715,0
248,11,0.8809,125
249,11,0.9396,17
250,11,0.9095,126
251,11,0.8968,127
252,11,0.8827,128
253,11,0.961,28
254,11,0.9694,0
255,11,0.9164,7
256,11,0.9584,8
257,11,0.9194,65
258,11,0.9719,7
259,12,0.9311,7
260,12,0.9304,121
261,12,0.938,47
262,12,0.9339,129
263,12,0.879,130
264,12,0.9679,47
265,12,0.9148,46
266,12,0.8848,131
267,12,0.9005,36
268,12,0.9208,132
269,12,0.9449,133
270,12,0.9329,52
