A: 398 dalia alerts
B1: 50 WESAD stress events
B2: 50 MIT-BIH windows selected (of 1342)
B3: 48 PTB-XL records
total generation jobs: 646
  [0/646] dalia|S1|w1 46.0s snaps=3
  [10/646] dalia|S1|w297 11.6s snaps=0
  [20/646] dalia|S2|w363 11.4s snaps=0
  [30/646] dalia|S2|w404 11.4s snaps=2
  [40/646] dalia|S3|w581 11.6s snaps=0
  [50/646] dalia|S3|w841 11.1s snaps=0
  [60/646] dalia|S4|w1018 11.2s snaps=2
  [70/646] dalia|S5|w1227 12.6s snaps=3
  [80/646] dalia|S5|w1262 11.3s snaps=0
  [90/646] dalia|S5|w1273 12.1s snaps=1
  [100/646] dalia|S5|w1473 10.9s snaps=2
  [110/646] dalia|S6|w1542 11.4s snaps=0
  [120/646] dalia|S6|w1591 11.5s snaps=0
  [130/646] dalia|S6|w1602 10.5s snaps=0
  [140/646] dalia|S6|w1617 10.9s snaps=0
  [150/646] dalia|S7|w1762 11.6s snaps=3
  [160/646] dalia|S7|w1943 11.8s snaps=0
  [170/646] dalia|S8|w2050 11.1s snaps=3
  [180/646] dalia|S8|w2117 12.2s snaps=1
  [190/646] dalia|S8|w2156 9.7s snaps=0
  [200/646] dalia|S8|w2231 10.2s snaps=0
  [210/646] dalia|S9|w2344 11.4s snaps=1
  [220/646] dalia|S9|w2477 10.0s snaps=0
  [230/646] dalia|S10|w2574 8.4s snaps=0
  [240/646] dalia|S10|w2652 11.3s snaps=2
  [250/646] dalia|S11|w2986 9.3s snaps=0
  [260/646] dalia|S12|w3194 12.0s snaps=0
  [270/646] dalia|S12|w3258 10.1s snaps=0
  [280/646] dalia|S12|w3268 10.0s snaps=0
  [290/646] dalia|S12|w3284 9.4s snaps=2
  [300/646] dalia|S13|w3476 11.2s snaps=1
  [310/646] dalia|S13|w3692 10.1s snaps=0
  [320/646] dalia|S14|w3795 12.9s snaps=0
  [330/646] dalia|S14|w3840 12.5s snaps=4
  [340/646] dalia|S14|w3858 11.1s snaps=0
  [350/646] dalia|S14|w3868 10.9s snaps=0
  [360/646] dalia|S14|w3878 11.3s snaps=0
  [370/646] dalia|S14|w3888 12.4s snaps=0
  [380/646] dalia|S14|w3912 10.3s snaps=0
  [390/646] dalia|S14|w4009 11.1s snaps=0
  [400/646] wesad|S5|w17 11.5s snaps=0
  [410/646] wesad|S13|w5 8.2s snaps=0
  [420/646] wesad|S5|w19 11.6s snaps=3
  [430/646] wesad|S16|w6 8.1s snaps=0
  [440/646] wesad|S16|w10 12.3s snaps=3
  [450/646] mitbih|103|w12 10.6s snaps=0
  [460/646] mitbih|117|w3 9.3s snaps=0
  [470/646] mitbih|117|w13 9.7s snaps=2
  [480/646] mitbih|117|w23 10.5s snaps=2
  [490/646] mitbih|117|w56 9.6s snaps=3
  [500/646] ptbxl|13849 9.3s snaps=1
  [510/646] ptbxl|299 8.7s snaps=0
  [520/646] ptbxl|21021 8.3s snaps=0
  [530/646] ptbxl|13855 8.3s snaps=3
  [540/646] ptbxl|13666 9.4s snaps=0
  [550/646] dalia|S1|w98|wordcap300 12.2s snaps=4
  [560/646] dalia|S2|w352|wordcap300 14.3s snaps=0
  [570/646] dalia|S2|w398|wordcap300 14.6s snaps=3
  [580/646] dalia|S2|w441|wordcap300 14.9s snaps=4
  [590/646] dalia|S3|w711|wordcap300 14.4s snaps=4
  [600/646] dalia|S1|w98|gen-llama31 6.4s snaps=0
  [610/646] dalia|S2|w352|gen-llama31 11.9s snaps=0
  [620/646] dalia|S2|w398|gen-llama31 7.0s snaps=0
  [630/646] dalia|S2|w441|gen-llama31 6.7s snaps=0
  [640/646] dalia|S3|w711|gen-llama31 8.0s snaps=0
generation complete -> D:\All_Folder\data project\new_papers\Retrieval-augmented generation for continuous anomaly alerts\outputs_v2\generation_v2.jsonl
