subject,model,auc,n_pos,n_neg
2,IF,0.367,20,50
3,IF,0.8314285714285714,21,50
4,IF,0.8036363636363636,22,50
5,IF,0.9399656946826758,22,53
6,IF,0.9991258741258741,22,52
7,IF,1.0,22,52
8,IF,0.9423076923076923,22,52
9,IF,0.6048951048951049,22,52
10,IF,0.9730769230769231,25,52
11,IF,0.9723707664884136,22,51
13,IF,0.9554195804195804,22,52
14,IF,0.907075873827792,23,51
15,IF,0.8542199488491049,23,51
16,IF,0.9138795986622072,23,52
17,IF,0.8676470588235294,24,51
2,LOF,0.389,20,50
3,LOF,0.8857142857142857,21,50
4,LOF,0.9163636363636363,22,50
5,LOF,0.8910806174957119,22,53
6,LOF,0.9187062937062936,22,52
7,LOF,0.6407342657342657,22,52
8,LOF,0.8732517482517482,22,52
9,LOF,0.4300699300699301,22,52
10,LOF,0.8661538461538462,25,52
11,LOF,1.0,22,51
13,LOF,0.9965034965034965,22,52
14,LOF,0.9752770673486786,23,51
15,LOF,0.8115942028985507,23,51
16,LOF,0.9991638795986622,23,52
17,LOF,0.9207516339869282,24,51
2,OCSVM,0.255,20,50
3,OCSVM,0.8314285714285714,21,50
4,OCSVM,0.6290909090909091,22,50
5,OCSVM,0.9022298456260721,22,53
6,OCSVM,1.0,22,52
7,OCSVM,0.9868881118881119,22,52
8,OCSVM,0.8557692307692307,22,52
9,OCSVM,0.4763986013986014,22,52
10,OCSVM,0.6876923076923077,25,52
11,OCSVM,1.0,22,51
13,OCSVM,0.9895104895104896,22,52
14,OCSVM,0.9752770673486786,23,51
15,OCSVM,0.814151747655584,23,51
16,OCSVM,1.0,23,52
17,OCSVM,0.8799019607843138,24,51
2,AE,0.569,20,50
3,AE,0.779047619047619,21,50
4,AE,0.8772727272727273,22,50
5,AE,0.8807890222984562,22,53
6,AE,0.9405594405594405,22,52
7,AE,0.9973776223776224,22,52
8,AE,0.875,22,52
9,AE,0.4335664335664336,22,52
10,AE,0.8661538461538462,25,52
11,AE,0.9928698752228164,22,51
13,AE,0.9484265734265735,22,52
14,AE,0.9718670076726343,23,51
15,AE,0.8184143222506394,23,51
16,AE,0.9966555183946488,23,52
17,AE,0.8954248366013071,24,51
